Dia;Valor
03.ene.2023;855,86
04.ene.2023;852,14
05.ene.2023;855,1
06.ene.2023;856,31
09.ene.2023;846,38
10.ene.2023;837,19
11.ene.2023;833,73
12.ene.2023;825,67
13.ene.2023;822,32
16.ene.2023;824,33
17.ene.2023;821,59
18.ene.2023;820,89
19.ene.2023;812,45
20.ene.2023;828,74
23.ene.2023;821,02
24.ene.2023;814,11
25.ene.2023;805,45
26.ene.2023;803,68
27.ene.2023;802,58
30.ene.2023;803,14
31.ene.2023;810,37
01.feb.2023;804,28
02.feb.2023;791,8
03.feb.2023;781,49
06.feb.2023;788,88
07.feb.2023;804,79
08.feb.2023;799,46
09.feb.2023;793,19
10.feb.2023;796,27
13.feb.2023;800,78
14.feb.2023;793,79
15.feb.2023;789,49
16.feb.2023;792,62
17.feb.2023;794,35
20.feb.2023;792,25
21.feb.2023;791,7
22.feb.2023;797,75
23.feb.2023;799,42
24.feb.2023;802,93
27.feb.2023;818,67
28.feb.2023;831,24
01.mar.2023;829,97
02.mar.2023;815,24
03.mar.2023;814,56
06.mar.2023;808,91
07.mar.2023;803
08.mar.2023;798,18
09.mar.2023;802,88
10.mar.2023;800,88
13.mar.2023;797,19
14.mar.2023;803,14
15.mar.2023;800,71
16.mar.2023;817,42
17.mar.2023;824,65
20.mar.2023;830,65
21.mar.2023;826,35
22.mar.2023;821,55
23.mar.2023;818,76
24.mar.2023;805,23
27.mar.2023;811,48
28.mar.2023;806,58
29.mar.2023;799,76
30.mar.2023;792,18
31.mar.2023;789,32
03.abr.2023;790,41
04.abr.2023;801,28
05.abr.2023;810,64
06.abr.2023;810,22
10.abr.2023;814,64
11.abr.2023;821,49
12.abr.2023;811,75
13.abr.2023;802,89
14.abr.2023;795,81
17.abr.2023;797,28
18.abr.2023;801,26
19.abr.2023;795,23
20.abr.2023;796,93
21.abr.2023;791,64
24.abr.2023;795,96
25.abr.2023;814,75
26.abr.2023;813,9
27.abr.2023;805,21
28.abr.2023;801,61
02.may.2023;803,3
03.may.2023;808,75
04.may.2023;806,03
05.may.2023;800,54
08.may.2023;795,46
09.may.2023;793,43
10.may.2023;792,46
11.may.2023;788,15
12.may.2023;796,38
15.may.2023;787
16.may.2023;783,35
17.may.2023;794,44
18.may.2023;797,24
19.may.2023;796,04
22.may.2023;797
23.may.2023;800,24
24.may.2023;801,71
25.may.2023;809,03
26.may.2023;809,24
29.may.2023;804,11
30.may.2023;802,14
31.may.2023;803,94
01.jun.2023;811,61
02.jun.2023;804,6
05.jun.2023;797,97
06.jun.2023;797,74
07.jun.2023;797,79
08.jun.2023;793,47
09.jun.2023;790,75
12.jun.2023;787,2
13.jun.2023;806,84
14.jun.2023;804,38
15.jun.2023;800,12
16.jun.2023;796,97
19.jun.2023;793,35
20.jun.2023;795,63
22.jun.2023;801,9
23.jun.2023;805,02
27.jun.2023;808,21
28.jun.2023;800,33
29.jun.2023;800,89
30.jun.2023;802,68
03.jul.2023;801,66
04.jul.2023;799,29
05.jul.2023;796,47
06.jul.2023;797,87
07.jul.2023;804,49
10.jul.2023;806,52
11.jul.2023;811,98
12.jul.2023;816,78
13.jul.2023;811,24
14.jul.2023;808,61
17.jul.2023;813,44
18.jul.2023;820,76
19.jul.2023;815,58
20.jul.2023;811,43
21.jul.2023;807,62
24.jul.2023;821,95
25.jul.2023;827,1
26.jul.2023;828,9
27.jul.2023;825,8
28.jul.2023;826,01
31.jul.2023;827,84
01.ago.2023;840,69
02.ago.2023;843,02
03.ago.2023;847,77
04.ago.2023;853,99
07.ago.2023;848,5
08.ago.2023;856,1
09.ago.2023;863,22
10.ago.2023;858,68
11.ago.2023;851,7
14.ago.2023;853,3
16.ago.2023;859,03
17.ago.2023;859,87
18.ago.2023;864,72
21.ago.2023;867,95
22.ago.2023;869,51
23.ago.2023;866,97
24.ago.2023;860,97
25.ago.2023;854,77
28.ago.2023;843,08
29.ago.2023;848,86
30.ago.2023;857,59
31.ago.2023;854,22
01.sept.2023;853,86
04.sept.2023;850,57
05.sept.2023;854,99
06.sept.2023;869,67
07.sept.2023;872,92
08.sept.2023;879,77
11.sept.2023;892,68
12.sept.2023;890,81
13.sept.2023;897,17
14.sept.2023;888,34
15.sept.2023;885,84
20.sept.2023;887,89
21.sept.2023;882,31
22.sept.2023;891,73
25.sept.2023;889,21
26.sept.2023;900,14
27.sept.2023;904,31
28.sept.2023;904,62
29.sept.2023;906,84
02.oct.2023;895,6
03.oct.2023;902,26
04.oct.2023;914,3
05.oct.2023;913,26
06.oct.2023;917,34
10.oct.2023;919,42
11.oct.2023;927,07
12.oct.2023;924,81
13.oct.2023;933,45
16.oct.2023;942,04
17.oct.2023;942,8
18.oct.2023;945,61
19.oct.2023;937,21
20.oct.2023;940,46
23.oct.2023;942,42
24.oct.2023;938,26
25.oct.2023;929,05
26.oct.2023;922,89
30.oct.2023;928,41
31.oct.2023;910,28
02.nov.2023;899,44
03.nov.2023;889,74
06.nov.2023;881,3
07.nov.2023;879,78
08.nov.2023;886,28
09.nov.2023;896
10.nov.2023;902,89
13.nov.2023;916,58
14.nov.2023;921,65
15.nov.2023;907,36
16.nov.2023;890,18
17.nov.2023;881,17
20.nov.2023;884,36
21.nov.2023;878,99
22.nov.2023;873,7
23.nov.2023;874,86
24.nov.2023;871,37
27.nov.2023;873,89
28.nov.2023;872,03
29.nov.2023;869,47
30.nov.2023;867,86
01.dic.2023;869,56
04.dic.2023;862,86
05.dic.2023;862,08
06.dic.2023;874,25
07.dic.2023;874,42
11.dic.2023;868,01
12.dic.2023;880
13.dic.2023;880,62
14.dic.2023;876,77
15.dic.2023;866,37
18.dic.2023;872,59
19.dic.2023;875,48
20.dic.2023;863,23
21.dic.2023;868,77
22.dic.2023;872,95
26.dic.2023;883,99
27.dic.2023;895,77
28.dic.2023;886,34
29.dic.2023;884,59
02.ene.2024;877,12
03.ene.2024;880,92
04.ene.2024;884,39
05.ene.2024;884,45
08.ene.2024;893,07
09.ene.2024;901,31
10.ene.2024;914,71
11.ene.2024;919,07
12.ene.2024;911,37
15.ene.2024;908,67
16.ene.2024;912,02
17.ene.2024;922,06
18.ene.2024;926,77
19.ene.2024;918,62
22.ene.2024;910,73
23.ene.2024;905,63
24.ene.2024;908,87
25.ene.2024;908,51
26.ene.2024;910,97
29.ene.2024;916,16
30.ene.2024;927,63
31.ene.2024;932,66
01.feb.2024;932,26
02.feb.2024;936,01
05.feb.2024;943,84
06.feb.2024;955,73
07.feb.2024;949,81
08.feb.2024;947,9
09.feb.2024;957,86
12.feb.2024;968,73
13.feb.2024;972,22
14.feb.2024;971,56
15.feb.2024;959,86
16.feb.2024;961,94
19.feb.2024;969,04
20.feb.2024;966,23
21.feb.2024;963,68
22.feb.2024;967,52
23.feb.2024;972,77
26.feb.2024;983,76
27.feb.2024;986,85
28.feb.2024;984,53
29.feb.2024;980,19
01.mar.2024;969,91
04.mar.2024;966,41
05.mar.2024;971,92
06.mar.2024;976,36
07.mar.2024;981,26
08.mar.2024;983,8
11.mar.2024;964,95
12.mar.2024;966,29
13.mar.2024;965,18
14.mar.2024;948,88
15.mar.2024;945,56
18.mar.2024;941,42
19.mar.2024;945,11
20.mar.2024;962,06
21.mar.2024;975,91
22.mar.2024;971,54
25.mar.2024;980,24
26.mar.2024;977,76
27.mar.2024;981,71
28.mar.2024;982,38
01.abr.2024;981,71
02.abr.2024;982,59
03.abr.2024;979,96
04.abr.2024;962,83
05.abr.2024;942,72
08.abr.2024;948,92
09.abr.2024;946,71
10.abr.2024;940,61
11.abr.2024;953,51
12.abr.2024;957,03
15.abr.2024;964,59
16.abr.2024;978,07
17.abr.2024;985,05
18.abr.2024;974,97
19.abr.2024;968,44
22.abr.2024;956,32
23.abr.2024;953,75
24.abr.2024;950,77
25.abr.2024;954,58
26.abr.2024;948,61
29.abr.2024;947,68
30.abr.2024;943,62
02.may.2024;954,25
03.may.2024;954,36
06.may.2024;938,29
07.may.2024;930,17
08.may.2024;934,29
09.may.2024;936,76
10.may.2024;930,99
13.may.2024;922
14.may.2024;922,1
15.may.2024;916,87
16.may.2024;909,06
17.may.2024;901,53
20.may.2024;897,11
22.may.2024;886,79
23.may.2024;904,67
