Dia;Valor
03.ene.2023;3,81
04.ene.2023;3,79
05.ene.2023;3,77
06.ene.2023;3,74
09.ene.2023;3,79
10.ene.2023;3,89
11.ene.2023;4,01
12.ene.2023;4,03
13.ene.2023;4,13
16.ene.2023;4,16
17.ene.2023;4,16
18.ene.2023;4,12
19.ene.2023;4,21
20.ene.2023;4,23
23.ene.2023;4,22
24.ene.2023;4,22
25.ene.2023;4,23
26.ene.2023;4,21
27.ene.2023;4,21
30.ene.2023;4,22
31.ene.2023;4,19
01.feb.2023;4,17
02.feb.2023;4,17
03.feb.2023;4,11
06.feb.2023;4,1
07.feb.2023;4,06
08.feb.2023;4,01
09.feb.2023;4,03
10.feb.2023;4,02
13.feb.2023;4,06
14.feb.2023;4
15.feb.2023;4,04
16.feb.2023;4,05
17.feb.2023;4
20.feb.2023;4,08
21.feb.2023;4,06
22.feb.2023;4,13
23.feb.2023;4,17
24.feb.2023;4,13
27.feb.2023;4,03
28.feb.2023;3,94
01.mar.2023;3,98
02.mar.2023;4,06
03.mar.2023;4,12
06.mar.2023;4,05
07.mar.2023;4,06
08.mar.2023;4,03
09.mar.2023;3,96
10.mar.2023;4,03
13.mar.2023;4,01
14.mar.2023;4,01
15.mar.2023;4,05
16.mar.2023;4
17.mar.2023;3,85
20.mar.2023;3,86
21.mar.2023;3,89
22.mar.2023;3,95
23.mar.2023;3,97
24.mar.2023;4,04
27.mar.2023;4,1
28.mar.2023;4,04
29.mar.2023;4,06
30.mar.2023;4,07
31.mar.2023;4,09
03.abr.2023;4,08
04.abr.2023;4,08
05.abr.2023;4,04
06.abr.2023;3,96
10.abr.2023;3,98
11.abr.2023;3,99
12.abr.2023;3,99
13.abr.2023;4,02
14.abr.2023;4,04
17.abr.2023;4,11
18.abr.2023;4,1
19.abr.2023;4,07
20.abr.2023;4,08
21.abr.2023;4,06
24.abr.2023;4,02
25.abr.2023;3,98
26.abr.2023;3,95
27.abr.2023;3,86
28.abr.2023;3,87
02.may.2023;3,89
03.may.2023;3,89
04.may.2023;3,85
05.may.2023;3,83
08.may.2023;3,84
09.may.2023;3,88
10.may.2023;3,88
11.may.2023;3,88
12.may.2023;3,83
15.may.2023;3,69
16.may.2023;3,73
17.may.2023;3,73
18.may.2023;3,66
19.may.2023;3,75
22.may.2023;3,69
23.may.2023;3,72
24.may.2023;3,66
25.may.2023;3,65
26.may.2023;3,56
29.may.2023;3,59
30.may.2023;3,68
31.may.2023;3,68
01.jun.2023;3,68
02.jun.2023;3,66
05.jun.2023;3,74
06.jun.2023;3,73
07.jun.2023;3,78
08.jun.2023;3,78
09.jun.2023;3,76
12.jun.2023;3,78
13.jun.2023;3,79
14.jun.2023;3,76
15.jun.2023;3,83
16.jun.2023;3,86
19.jun.2023;3,88
20.jun.2023;3,88
22.jun.2023;3,88
23.jun.2023;3,9
27.jun.2023;3,89
28.jun.2023;3,82
29.jun.2023;3,8
30.jun.2023;3,75
03.jul.2023;3,71
04.jul.2023;3,77
05.jul.2023;3,81
06.jul.2023;3,79
07.jul.2023;3,77
10.jul.2023;3,74
11.jul.2023;3,79
12.jul.2023;3,79
13.jul.2023;3,77
14.jul.2023;3,85
17.jul.2023;3,94
18.jul.2023;3,93
19.jul.2023;3,84
20.jul.2023;3,83
21.jul.2023;3,81
24.jul.2023;3,84
25.jul.2023;3,82
26.jul.2023;3,85
27.jul.2023;3,92
28.jul.2023;3,89
31.jul.2023;3,87
01.ago.2023;3,91
02.ago.2023;3,99
03.ago.2023;3,9
04.ago.2023;3,84
07.ago.2023;3,89
08.ago.2023;3,87
09.ago.2023;3,83
10.ago.2023;3,77
11.ago.2023;3,79
14.ago.2023;3,79
16.ago.2023;3,74
17.ago.2023;3,69
18.ago.2023;3,68
21.ago.2023;3,72
22.ago.2023;3,73
23.ago.2023;3,74
24.ago.2023;3,78
25.ago.2023;3,82
28.ago.2023;3,78
29.ago.2023;3,77
30.ago.2023;3,77
31.ago.2023;3,82
01.sept.2023;3,83
04.sept.2023;3,81
05.sept.2023;3,85
06.sept.2023;3,83
07.sept.2023;3,85
08.sept.2023;3,79
11.sept.2023;3,77
12.sept.2023;3,73
13.sept.2023;3,8
14.sept.2023;3,8
15.sept.2023;3,81
20.sept.2023;3,8
21.sept.2023;3,73
22.sept.2023;3,76
25.sept.2023;3,69
26.sept.2023;3,7
27.sept.2023;3,66
28.sept.2023;3,64
29.sept.2023;3,65
02.oct.2023;3,7
03.oct.2023;3,73
04.oct.2023;3,62
05.oct.2023;3,6
06.oct.2023;3,57
10.oct.2023;3,55
11.oct.2023;3,65
12.oct.2023;3,6
13.oct.2023;3,6
16.oct.2023;3,59
17.oct.2023;3,57
18.oct.2023;3,59
19.oct.2023;3,58
20.oct.2023;3,58
23.oct.2023;3,6
24.oct.2023;3,57
25.oct.2023;3,58
26.oct.2023;3,62
30.oct.2023;3,61
31.oct.2023;3,64
02.nov.2023;3,66
03.nov.2023;3,64
06.nov.2023;3,66
07.nov.2023;3,67
08.nov.2023;3,7
09.nov.2023;3,67
10.nov.2023;3,66
13.nov.2023;3,66
14.nov.2023;3,61
15.nov.2023;3,67
16.nov.2023;3,69
17.nov.2023;3,71
20.nov.2023;3,68
21.nov.2023;3,71
22.nov.2023;3,78
23.nov.2023;3,79
24.nov.2023;3,74
27.nov.2023;3,77
28.nov.2023;3,78
29.nov.2023;3,75
30.nov.2023;3,8
01.dic.2023;3,78
04.dic.2023;3,8
05.dic.2023;3,87
06.dic.2023;3,79
07.dic.2023;3,74
11.dic.2023;3,72
12.dic.2023;3,79
13.dic.2023;3,74
14.dic.2023;3,75
15.dic.2023;3,74
18.dic.2023;3,84
19.dic.2023;3,84
20.dic.2023;3,81
21.dic.2023;3,86
22.dic.2023;3,85
26.dic.2023;3,86
27.dic.2023;3,85
28.dic.2023;3,85
29.dic.2023;3,9
02.ene.2024;3,87
03.ene.2024;3,84
04.ene.2024;3,83
05.ene.2024;3,82
08.ene.2024;3,8
09.ene.2024;3,79
10.ene.2024;3,78
11.ene.2024;3,75
12.ene.2024;3,75
15.ene.2024;3,75
16.ene.2024;3,74
17.ene.2024;3,76
18.ene.2024;3,75
19.ene.2024;3,71
22.ene.2024;3,73
23.ene.2024;3,75
24.ene.2024;3,74
25.ene.2024;3,77
26.ene.2024;3,84
29.ene.2024;3,85
30.ene.2024;3,83
31.ene.2024;3,84
01.feb.2024;3,86
02.feb.2024;3,86
05.feb.2024;3,82
06.feb.2024;3,8
07.feb.2024;3,74
08.feb.2024;3,76
09.feb.2024;3,72
12.feb.2024;3,67
13.feb.2024;3,66
14.feb.2024;3,69
15.feb.2024;3,7
16.feb.2024;3,67
